0.29804,0.22262,0.22372,-0.16691,0.12535
0.29804,0.22262,0.22372,-0.16691,0.12535
0.2941,0.16993,0.026594,0.15213,-0.28984
0.27809,0.04917,-0.23282,0.37569,-0.19359
0.25105,-0.10323,-0.3457,0.096428,0.33733
0.2151,-0.24456,-0.23255,-0.30441,0.13924
0.17256,-0.33851,0.035546,-0.26276,-0.34795
0.12646,-0.36363,0.29506,0.15672,-0.061363
0.083062,-0.32345,0.40761,0.41092,0.42208
0.12646,-0.36363,0.29506,0.15672,-0.061363
0.17256,-0.33851,0.035546,-0.26276,-0.34795
0.2151,-0.24456,-0.23255,-0.30441,0.13924
0.25105,-0.10323,-0.3457,0.096428,0.33733
0.27809,0.04917,-0.23282,0.37569,-0.19359
0.2941,0.16993,0.026594,0.15213,-0.28984
0.29804,0.22262,0.22372,-0.16691,0.12535
0.29804,0.22262,0.22372,-0.16691,0.12535
